renderer	shape	series	points	real	skipped	clear_ms	build_ms	first_ms	cpu_p50	cpu_p95	cpu_worst	wall_p50	wall_p95	frames	rss_mib	data_mib	allocs	alloc_mib	note
scenegraph	sine	1	1000	0	0	0.10902	0.3359	2.68462	0.08976	0.12254	0.13053	2.68232	2.88923	40	126.547	0.00762939	51646	11	
scenegraph	sine	1	100000	0	0	0.07703	0.3765	1.46914	0.109039	0.18482	0.23283	2.74176	2.95732	40	126.891	0.762939	48418	10	
scenegraph	sine	1	1000000	0	0	0.11732	0.30846	1.19991	0.17305	0.51996	1.20187	2.83452	3.31436	40	134.434	7.62939	48106	10	
scenegraph	sine	1	10000000	0	0	0.07682	0.52004	9.65283	1.00036	4.19139	9.25256	3.52746	9.02189	40	203.324	76.2939	48103	10	
scenegraph	sine	8	1000	0	0	0.09184	0.45919	0.38619	0.107	0.13739	0.14174	2.76307	2.93875	40	202.621	0.0610352	54974	12	
scenegraph	sine	8	100000	0	0	0.08586	0.41986	1.18404	0.21255	0.47579	0.90049	2.79113	3.56327	40	202.621	6.10352	49874	11	
scenegraph	sine	8	1000000	0	0	0.09137	0.44083	7.90236	0.78504	3.58234	7.52944	3.40811	7.75347	40	202.621	61.0352	49569	11	
scenegraph	sine	8	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	64	1000	0	0	0.10864	0.42437	0.75555	0.25246	0.37718	0.50615	2.8801	3.17238	40	202.621	0.488281	53154	12	
scenegraph	sine	64	100000	0	0	0.08867	0.48389	8.05575	1.19553	3.42117	6.57068	3.76349	7.29038	40	202.621	48.8281	49757	11	
scenegraph	sine	64	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	64	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	256	1000	0	0	0.09693	0.39963	3.67325	1.68332	2.19599	2.52819	4.37074	5.30059	40	202.621	1.95313	58055	13	
scenegraph	sine	256	100000	0	0	0.08852	0.57053	35.0892	5.25842	13.4878	25.0554	8.09003	21.2768	40	350.496	195.313	60789	17	
scenegraph	sine	256	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	256	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	1024	1000	0	0	0.08649	0.2887	17.6016	8.55412	9.83635	11.609	11.369	13.6839	40	357.539	7.8125	64809	14	
scenegraph	sine	1024	100000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	1024	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	1024	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	10000	1000	0	0	0.08051	0.39476	918.759	384.652	413.759	438.372	390.325	445.101	40	708.543	76.2939	74550	22	
scenegraph	sine	10000	100000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	10000	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	10000	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph	sine	64	2048	1	0	0.0985	0.41266	953.333	0.31188	0.76898	0.96086	2.93197	3.39831	40	708.383	1	54937	12	
scenegraph	sine	10000	2048	1	0	0.08398	0.24533	1046.25	365.407	404.296	451.46	372.487	471.587	40	1284.36	156.25	80185	26	
scenegraph/batched	sine	1	1000	0	0	0.12124	0.3949	2.93711	0.08634	0.13265	0.1763	2.65785	2.84579	40	137.969	0.00762939	51715	11	
scenegraph/batched	sine	1	100000	0	0	0.06413	0.3261	1.43254	0.10536	0.17775	0.19016	2.65524	2.84664	40	137.969	0.762939	48486	10	
scenegraph/batched	sine	1	1000000	0	0	0.06582	0.25638	1.1138	0.168969	0.6487	0.93498	2.69877	3.33397	40	137.969	7.62939	48175	10	
scenegraph/batched	sine	1	10000000	0	0	0.06731	0.43195	8.70031	0.82815	3.80682	8.65138	3.39064	8.59911	40	206.012	76.2939	48172	10	
scenegraph/batched	sine	8	1000	0	0	0.07155	0.39894	0.38679	0.0929	0.14161	0.16541	2.72647	2.92221	40	205.531	0.0610352	55058	12	
scenegraph/batched	sine	8	100000	0	0	0.0787	0.38386	1.77606	0.3418	0.71494	1.01127	2.92378	3.57335	40	205.531	6.10352	49946	11	
scenegraph/batched	sine	8	1000000	0	0	0.09908	0.3744	7.2175	0.92338	3.2736	7.09978	3.42819	7.33052	40	205.531	61.0352	49645	11	
scenegraph/batched	sine	8	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	64	1000	0	0	0.09149	0.41164	1.19968	0.13889	0.39522	0.93685	2.73786	3.18137	40	205.531	0.488281	53202	12	
scenegraph/batched	sine	64	100000	0	0	0.07587	0.42352	12.2721	1.93147	4.05947	7.29658	4.76311	7.92734	40	208.852	48.8281	49929	11	
scenegraph/batched	sine	64	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	64	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	256	1000	0	0	0.09385	0.38331	4.56752	0.32142	1.51482	2.46109	2.89365	4.69566	40	208.852	1.95313	53087	12	
scenegraph/batched	sine	256	100000	0	0	0.08024	0.53921	55.2965	9.34588	21.5469	38.3321	13.6986	38.335	40	479.449	195.313	48882	11	
scenegraph/batched	sine	256	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	256	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	1024	1000	0	0	0.10549	0.33199	18.2197	0.96188	4.30933	20.5065	3.66012	14.6682	40	479.449	7.8125	53192	12	
scenegraph/batched	sine	1024	100000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	1024	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	1024	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	10000	1000	0	0	0.08648	0.39833	697.876	12.0303	187.627	408.856	17.8576	421.327	40	1991.68	76.2939	53743	12	
scenegraph/batched	sine	10000	100000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	10000	1000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	10000	10000000	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	past --budget
scenegraph/batched	sine	64	2048	1	0	0.08519	0.38587	50.6263	0.21208	0.95156	1.47241	2.86187	3.65877	40	1991.68	1	54865	12	
scenegraph/batched	sine	10000	2048	1	0	0.07951	0.25652	1613.02	51.6555	367.557	999.87	65.4942	944.411	40	3803.48	156.25	55167	12	
qcustomplot	sine	1	1000	0	0	0.04435	0.06383	4.00266	0.701281	0.80946	0.86677	3.04112	3.21606	40	148.352	0.00762939	5361	0	
qcustomplot	sine	1	100000	0	0	0.02072	1.12535	2.37625	0.82523	1.03348	1.25466	3.16372	3.4344	40	150.559	0.762939	5394	0	
qcustomplot	sine	1	1000000	0	0	0.01787	13.2909	2.99065	0.938461	1.70558	2.56841	3.3077	4.23199	40	188.34	7.62939	5390	0	
