renderer	shape	series	points	real	skipped	clear_ms	build_ms	first_ms	cpu_p50	cpu_p95	cpu_worst	wall_p50	wall_p95	frames	rss_mib	data_mib	allocs	alloc_mib	note
scenegraph	sine	1	1000	0	0	0.10086	0.33381	2.6826	0.08977	0.11865	0.11989	2.69724	2.88526	40	126.176	0.00762939	51646	11	
scenegraph	sine	1	100000	0	0	0.10296	0.37637	1.67975	0.10488	0.1579	0.18854	2.70672	2.9348	40	126.793	0.762939	48429	10	
scenegraph	sine	1	1000000	0	0	0.10313	0.39325	1.47426	0.16756	0.63171	1.20998	2.73418	3.37852	40	133.703	7.62939	48116	10	
scenegraph	sine	1	10000000	0	0	0.10355	0.54416	9.03475	0.902919	3.97269	8.61261	3.35029	8.53635	40	202.445	76.2939	48116	10	
scenegraph	sine	8	1000	0	0	0.097	0.3839	2.62628	0.09496	0.1381	0.16412	2.6881	2.9348	40	126.547	0.0610352	54999	12	
scenegraph	sine	8	100000	0	0	0.09219	0.2833	1.20646	0.21727	0.51803	1.05889	2.86584	3.26758	40	132.652	6.10352	49909	11	
scenegraph	sine	8	1000000	0	0	0.09827	0.47666	7.53504	0.79685	3.36502	7.26459	3.29147	7.44514	40	187.895	61.0352	49608	11	
scenegraph	sine	64	1000	0	0	0.09271	0.37999	1.85528	0.242	0.40878	0.516641	2.8157	3.09738	40	127.613	0.488281	53203	12	
scenegraph	sine	64	100000	0	0	0.09338	0.36851	8.35095	1.05943	3.00985	6.20165	3.57352	7.01236	40	179.594	48.8281	49905	11	
scenegraph	sine	256	1000	0	0	0.09682	0.38442	5.7568	1.51479	2.01677	2.12854	4.10522	4.65096	40	134.938	1.95313	56197	13	
scenegraph	sine	256	100000	0	0	0.09249	0.63464	40.0035	5.12465	13.2288	25.5031	8.00649	21.4157	40	349.977	195.313	61305	17	
scenegraph	sine	1024	1000	0	0	0.09557	0.38375	33.3815	8.19552	9.68639	11.5328	10.9568	13.5389	40	180.953	7.8125	64970	14	
